portfolio_id,portfolio_name,advisor_name,risk_profile_name,base_currency,created_at
P00104,Client Portfolio 00104,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00105,Client Portfolio 00105,Advisor_24,Aggressive,USD,2026-02-20 16:59:57
P00106,Client Portfolio 00106,Advisor_19,Moderate,USD,2026-02-20 16:59:57
P00107,Client Portfolio 00107,Advisor_08,Moderate,USD,2026-02-20 16:59:57
P00108,Client Portfolio 00108,Advisor_14,Conservative,USD,2026-02-20 16:59:57
P00109,Client Portfolio 00109,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00110,Client Portfolio 00110,Advisor_12,Moderate,USD,2026-02-20 16:59:57
P00111,Client Portfolio 00111,Advisor_15,Aggressive,USD,2026-02-20 16:59:57
P00112,Client Portfolio 00112,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00113,Client Portfolio 00113,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00114,Client Portfolio 00114,Advisor_13,Moderate,USD,2026-02-20 16:59:57
P00115,Client Portfolio 00115,Advisor_04,Conservative,USD,2026-02-20 16:59:57
P00116,Client Portfolio 00116,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00117,Client Portfolio 00117,Advisor_05,Moderate,USD,2026-02-20 16:59:57
P00118,Client Portfolio 00118,Advisor_09,Moderate,USD,2026-02-20 16:59:57
P00119,Client Portfolio 00119,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00120,Client Portfolio 00120,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00121,Client Portfolio 00121,Advisor_21,Aggressive,USD,2026-02-20 16:59:57
P00122,Client Portfolio 00122,Advisor_01,Aggressive,USD,2026-02-20 16:59:57
P00123,Client Portfolio 00123,Advisor_25,Aggressive,USD,2026-02-20 16:59:57
P00124,Client Portfolio 00124,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00125,Client Portfolio 00125,Advisor_16,Conservative,USD,2026-02-20 16:59:57
P00126,Client Portfolio 00126,Advisor_13,Aggressive,USD,2026-02-20 16:59:57
P00127,Client Portfolio 00127,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00128,Client Portfolio 00128,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00129,Client Portfolio 00129,Advisor_15,Conservative,USD,2026-02-20 16:59:57
P00130,Client Portfolio 00130,Advisor_23,Aggressive,USD,2026-02-20 16:59:57
P00131,Client Portfolio 00131,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00132,Client Portfolio 00132,Advisor_16,Conservative,USD,2026-02-20 16:59:57
P00133,Client Portfolio 00133,Advisor_10,Conservative,USD,2026-02-20 16:59:57
P00134,Client Portfolio 00134,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00135,Client Portfolio 00135,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00136,Client Portfolio 00136,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00137,Client Portfolio 00137,Advisor_19,Moderate,USD,2026-02-20 16:59:57
P00138,Client Portfolio 00138,Advisor_17,Conservative,USD,2026-02-20 16:59:57
P00139,Client Portfolio 00139,Advisor_17,Conservative,USD,2026-02-20 16:59:57
P00140,Client Portfolio 00140,Advisor_06,Conservative,USD,2026-02-20 16:59:57
P00141,Client Portfolio 00141,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00142,Client Portfolio 00142,Advisor_08,Moderate,USD,2026-02-20 16:59:57
P00143,Client Portfolio 00143,Advisor_19,Conservative,USD,2026-02-20 16:59:57
P00144,Client Portfolio 00144,Advisor_20,Conservative,USD,2026-02-20 16:59:57
P00145,Client Portfolio 00145,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00146,Client Portfolio 00146,Advisor_19,Moderate,USD,2026-02-20 16:59:57
P00147,Client Portfolio 00147,Advisor_11,Aggressive,USD,2026-02-20 16:59:57
P00148,Client Portfolio 00148,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00149,Client Portfolio 00149,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00150,Client Portfolio 00150,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00151,Client Portfolio 00151,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00152,Client Portfolio 00152,Advisor_11,Aggressive,USD,2026-02-20 16:59:57
P00153,Client Portfolio 00153,Advisor_03,Conservative,USD,2026-02-20 16:59:57
P00154,Client Portfolio 00154,Advisor_20,Aggressive,USD,2026-02-20 16:59:57
P00155,Client Portfolio 00155,Advisor_04,Conservative,USD,2026-02-20 16:59:57
P00156,Client Portfolio 00156,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00157,Client Portfolio 00157,Advisor_05,Aggressive,USD,2026-02-20 16:59:57
P00158,Client Portfolio 00158,Advisor_03,Aggressive,USD,2026-02-20 16:59:57
P00159,Client Portfolio 00159,Advisor_12,Conservative,USD,2026-02-20 16:59:57
P00160,Client Portfolio 00160,Advisor_15,Aggressive,USD,2026-02-20 16:59:57
P00161,Client Portfolio 00161,Advisor_23,Moderate,USD,2026-02-20 16:59:57
P00162,Client Portfolio 00162,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00163,Client Portfolio 00163,Advisor_22,Aggressive,USD,2026-02-20 16:59:57
P00164,Client Portfolio 00164,Advisor_10,Aggressive,USD,2026-02-20 16:59:57
P00165,Client Portfolio 00165,Advisor_04,Aggressive,USD,2026-02-20 16:59:57
P00166,Client Portfolio 00166,Advisor_05,Conservative,USD,2026-02-20 16:59:57
P00167,Client Portfolio 00167,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00168,Client Portfolio 00168,Advisor_05,Conservative,USD,2026-02-20 16:59:57
P00169,Client Portfolio 00169,Advisor_20,Conservative,USD,2026-02-20 16:59:57
P00170,Client Portfolio 00170,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00171,Client Portfolio 00171,Advisor_21,Aggressive,USD,2026-02-20 16:59:57
P00172,Client Portfolio 00172,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00173,Client Portfolio 00173,Advisor_02,Conservative,USD,2026-02-20 16:59:57
P00174,Client Portfolio 00174,Advisor_14,Aggressive,USD,2026-02-20 16:59:57
P00175,Client Portfolio 00175,Advisor_02,Conservative,USD,2026-02-20 16:59:57
P00176,Client Portfolio 00176,Advisor_25,Conservative,USD,2026-02-20 16:59:57
P00177,Client Portfolio 00177,Advisor_09,Conservative,USD,2026-02-20 16:59:57
P00178,Client Portfolio 00178,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00179,Client Portfolio 00179,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00180,Client Portfolio 00180,Advisor_04,Conservative,USD,2026-02-20 16:59:57
P00181,Client Portfolio 00181,Advisor_23,Aggressive,USD,2026-02-20 16:59:57
P00182,Client Portfolio 00182,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00183,Client Portfolio 00183,Advisor_12,Moderate,USD,2026-02-20 16:59:57
P00184,Client Portfolio 00184,Advisor_05,Moderate,USD,2026-02-20 16:59:57
P00185,Client Portfolio 00185,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00186,Client Portfolio 00186,Advisor_02,Aggressive,USD,2026-02-20 16:59:57
P00187,Client Portfolio 00187,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00188,Client Portfolio 00188,Advisor_22,Conservative,USD,2026-02-20 16:59:57
P00189,Client Portfolio 00189,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00190,Client Portfolio 00190,Advisor_14,Aggressive,USD,2026-02-20 16:59:57
P00191,Client Portfolio 00191,Advisor_24,Conservative,USD,2026-02-20 16:59:57
P00192,Client Portfolio 00192,Advisor_08,Aggressive,USD,2026-02-20 16:59:57
P00193,Client Portfolio 00193,Advisor_06,Aggressive,USD,2026-02-20 16:59:57
P00194,Client Portfolio 00194,Advisor_01,Conservative,USD,2026-02-20 16:59:57
P00195,Client Portfolio 00195,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00196,Client Portfolio 00196,Advisor_14,Aggressive,USD,2026-02-20 16:59:57
P00197,Client Portfolio 00197,Advisor_24,Aggressive,USD,2026-02-20 16:59:57
P00198,Client Portfolio 00198,Advisor_09,Conservative,USD,2026-02-20 16:59:57
P00199,Client Portfolio 00199,Advisor_23,Conservative,USD,2026-02-20 16:59:57
P00200,Client Portfolio 00200,Advisor_02,Aggressive,USD,2026-02-20 16:59:57
P00201,Client Portfolio 00201,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00202,Client Portfolio 00202,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00203,Client Portfolio 00203,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00204,Client Portfolio 00204,Advisor_22,Conservative,USD,2026-02-20 16:59:57
P00205,Client Portfolio 00205,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00206,Client Portfolio 00206,Advisor_03,Aggressive,USD,2026-02-20 16:59:57
P00207,Client Portfolio 00207,Advisor_09,Moderate,USD,2026-02-20 16:59:57
P00208,Client Portfolio 00208,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00209,Client Portfolio 00209,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00210,Client Portfolio 00210,Advisor_01,Conservative,USD,2026-02-20 16:59:57
P00211,Client Portfolio 00211,Advisor_09,Conservative,USD,2026-02-20 16:59:57
P00212,Client Portfolio 00212,Advisor_09,Conservative,USD,2026-02-20 16:59:57
P00213,Client Portfolio 00213,Advisor_20,Moderate,USD,2026-02-20 16:59:57
P00214,Client Portfolio 00214,Advisor_24,Moderate,USD,2026-02-20 16:59:57
P00215,Client Portfolio 00215,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00216,Client Portfolio 00216,Advisor_17,Conservative,USD,2026-02-20 16:59:57
P00217,Client Portfolio 00217,Advisor_19,Conservative,USD,2026-02-20 16:59:57
P00218,Client Portfolio 00218,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00219,Client Portfolio 00219,Advisor_01,Moderate,USD,2026-02-20 16:59:57
P00220,Client Portfolio 00220,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00221,Client Portfolio 00221,Advisor_24,Moderate,USD,2026-02-20 16:59:57
P00222,Client Portfolio 00222,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00223,Client Portfolio 00223,Advisor_03,Aggressive,USD,2026-02-20 16:59:57
P00224,Client Portfolio 00224,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00225,Client Portfolio 00225,Advisor_22,Aggressive,USD,2026-02-20 16:59:57
P00226,Client Portfolio 00226,Advisor_24,Aggressive,USD,2026-02-20 16:59:57
P00227,Client Portfolio 00227,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00228,Client Portfolio 00228,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00229,Client Portfolio 00229,Advisor_23,Conservative,USD,2026-02-20 16:59:57
P00230,Client Portfolio 00230,Advisor_05,Conservative,USD,2026-02-20 16:59:57
P00231,Client Portfolio 00231,Advisor_22,Aggressive,USD,2026-02-20 16:59:57
P00232,Client Portfolio 00232,Advisor_22,Moderate,USD,2026-02-20 16:59:57
P00233,Client Portfolio 00233,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00234,Client Portfolio 00234,Advisor_10,Moderate,USD,2026-02-20 16:59:57
P00235,Client Portfolio 00235,Advisor_01,Moderate,USD,2026-02-20 16:59:57
P00236,Client Portfolio 00236,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00237,Client Portfolio 00237,Advisor_19,Moderate,USD,2026-02-20 16:59:57
P00238,Client Portfolio 00238,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00239,Client Portfolio 00239,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00240,Client Portfolio 00240,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00241,Client Portfolio 00241,Advisor_24,Conservative,USD,2026-02-20 16:59:57
P00242,Client Portfolio 00242,Advisor_03,Conservative,USD,2026-02-20 16:59:57
P00243,Client Portfolio 00243,Advisor_22,Moderate,USD,2026-02-20 16:59:57
P00244,Client Portfolio 00244,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00245,Client Portfolio 00245,Advisor_25,Conservative,USD,2026-02-20 16:59:57
P00246,Client Portfolio 00246,Advisor_10,Conservative,USD,2026-02-20 16:59:57
P00247,Client Portfolio 00247,Advisor_07,Conservative,USD,2026-02-20 16:59:57
P00248,Client Portfolio 00248,Advisor_02,Conservative,USD,2026-02-20 16:59:57
P00249,Client Portfolio 00249,Advisor_16,Moderate,USD,2026-02-20 16:59:57
P00250,Client Portfolio 00250,Advisor_25,Conservative,USD,2026-02-20 16:59:57
P00251,Client Portfolio 00251,Advisor_14,Aggressive,USD,2026-02-20 16:59:57
P00252,Client Portfolio 00252,Advisor_19,Conservative,USD,2026-02-20 16:59:57
P00253,Client Portfolio 00253,Advisor_23,Moderate,USD,2026-02-20 16:59:57
P00254,Client Portfolio 00254,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00255,Client Portfolio 00255,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00256,Client Portfolio 00256,Advisor_25,Aggressive,USD,2026-02-20 16:59:57
P00257,Client Portfolio 00257,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00258,Client Portfolio 00258,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00259,Client Portfolio 00259,Advisor_23,Moderate,USD,2026-02-20 16:59:57
P00260,Client Portfolio 00260,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00261,Client Portfolio 00261,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00262,Client Portfolio 00262,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00263,Client Portfolio 00263,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00264,Client Portfolio 00264,Advisor_25,Aggressive,USD,2026-02-20 16:59:57
P00265,Client Portfolio 00265,Advisor_20,Aggressive,USD,2026-02-20 16:59:57
P00266,Client Portfolio 00266,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00267,Client Portfolio 00267,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00268,Client Portfolio 00268,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00269,Client Portfolio 00269,Advisor_16,Moderate,USD,2026-02-20 16:59:57
P00270,Client Portfolio 00270,Advisor_25,Conservative,USD,2026-02-20 16:59:57
P00271,Client Portfolio 00271,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00272,Client Portfolio 00272,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00273,Client Portfolio 00273,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00274,Client Portfolio 00274,Advisor_15,Conservative,USD,2026-02-20 16:59:57
P00275,Client Portfolio 00275,Advisor_10,Conservative,USD,2026-02-20 16:59:57
P00276,Client Portfolio 00276,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00277,Client Portfolio 00277,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00278,Client Portfolio 00278,Advisor_05,Conservative,USD,2026-02-20 16:59:57
P00279,Client Portfolio 00279,Advisor_23,Conservative,USD,2026-02-20 16:59:57
P00280,Client Portfolio 00280,Advisor_07,Conservative,USD,2026-02-20 16:59:57
P00281,Client Portfolio 00281,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00282,Client Portfolio 00282,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00283,Client Portfolio 00283,Advisor_07,Aggressive,USD,2026-02-20 16:59:57
P00284,Client Portfolio 00284,Advisor_13,Aggressive,USD,2026-02-20 16:59:57
P00285,Client Portfolio 00285,Advisor_19,Aggressive,USD,2026-02-20 16:59:57
P00286,Client Portfolio 00286,Advisor_01,Aggressive,USD,2026-02-20 16:59:57
P00287,Client Portfolio 00287,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00288,Client Portfolio 00288,Advisor_16,Conservative,USD,2026-02-20 16:59:57
P00289,Client Portfolio 00289,Advisor_12,Conservative,USD,2026-02-20 16:59:57
P00290,Client Portfolio 00290,Advisor_13,Aggressive,USD,2026-02-20 16:59:57
P00291,Client Portfolio 00291,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00292,Client Portfolio 00292,Advisor_24,Moderate,USD,2026-02-20 16:59:57
P00293,Client Portfolio 00293,Advisor_20,Aggressive,USD,2026-02-20 16:59:57
P00294,Client Portfolio 00294,Advisor_16,Conservative,USD,2026-02-20 16:59:57
P00295,Client Portfolio 00295,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00296,Client Portfolio 00296,Advisor_13,Moderate,USD,2026-02-20 16:59:57
P00297,Client Portfolio 00297,Advisor_22,Moderate,USD,2026-02-20 16:59:57
P00298,Client Portfolio 00298,Advisor_24,Conservative,USD,2026-02-20 16:59:57
P00299,Client Portfolio 00299,Advisor_15,Aggressive,USD,2026-02-20 16:59:57
P00300,Client Portfolio 00300,Advisor_20,Moderate,USD,2026-02-20 16:59:57
P00301,Client Portfolio 00301,Advisor_13,Moderate,USD,2026-02-20 16:59:57
P00302,Client Portfolio 00302,Advisor_22,Conservative,USD,2026-02-20 16:59:57
P00303,Client Portfolio 00303,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00304,Client Portfolio 00304,Advisor_15,Conservative,USD,2026-02-20 16:59:57
P00305,Client Portfolio 00305,Advisor_09,Moderate,USD,2026-02-20 16:59:57
P00306,Client Portfolio 00306,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00307,Client Portfolio 00307,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00308,Client Portfolio 00308,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00309,Client Portfolio 00309,Advisor_14,Conservative,USD,2026-02-20 16:59:57
P00310,Client Portfolio 00310,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00311,Client Portfolio 00311,Advisor_24,Moderate,USD,2026-02-20 16:59:57
P00312,Client Portfolio 00312,Advisor_12,Conservative,USD,2026-02-20 16:59:57
P00313,Client Portfolio 00313,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00314,Client Portfolio 00314,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00315,Client Portfolio 00315,Advisor_01,Aggressive,USD,2026-02-20 16:59:57
P00316,Client Portfolio 00316,Advisor_07,Aggressive,USD,2026-02-20 16:59:57
P00317,Client Portfolio 00317,Advisor_20,Conservative,USD,2026-02-20 16:59:57
P00318,Client Portfolio 00318,Advisor_05,Moderate,USD,2026-02-20 16:59:57
P00319,Client Portfolio 00319,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00320,Client Portfolio 00320,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00321,Client Portfolio 00321,Advisor_09,Moderate,USD,2026-02-20 16:59:57
P00322,Client Portfolio 00322,Advisor_06,Moderate,USD,2026-02-20 16:59:57
